,address,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and_last (Mins),Sent_tnx,Received_tnx,NumberofCreated_Contracts,UniqueReceivedFrom_Addresses,UniqueSentTo_Addresses20,MinValueReceived,MaxValueReceived,AvgValueReceived5Average,MinValSent,MaxValSent,AvgValSent,MinValueSentToContract,MaxValueSentToContract,AvgValueSentToContract,TotalTransactions(IncludingTnxtoCreate_Contract),TotalEtherSent,TotalEtherReceived,TotalEtherSent_Contracts,TotalEtherBalance,TotalERC20Tnxs:,ERC20TotalEther_Received:,ERC20TotalEther_Sent:,ERC20TotalEtherSentContract:,ERC20UniqSent_Addr:,ERC20UniqRec_Addr:,ERC20UniqRecContractAddr:,ERC20AvgTimeBetweenSent_Tnx,ERC20AvgTimeBetweenRec_Tnx,ERC20AvgTimeBetweenContract_Tnx,ERC20MinVal_Rec,ERC20MaxVal_Rec,ERC20AvgVal_Rec,ERC20MinVal_Sent,ERC20MaxVal_Sent,ERC20AvgVal_Sent,ERC20UniqSentTokenName,ERC20UniqRecTokenName,ERC20MostSentTokenType,ERC20MostRecTokenType
1313,0x6aa83b12973f3364bc7f17211cfd85c7586fb371,0,41214.5,2080739,1,3,0,3,1,2.58E+17,5E+17,1.63E+17,1.24731E+18,1.25E+18,1.25E+18,0,0,0,4,1.24731E+18,4.9E+17,0,0,1,1.337E+19,0,0,0,1,0,0,0,0,1.337E+19,1.337E+19,0,0,0,0,0,1,0,Blockwell say NOTSAFU
1314,0x6af114154a8850b1c54d48bd9103bdcdb420611b,0,4127.642857,452356,1,15,0,14,1,1.00E+17,1E+18,2.78E+16,4.56751E+18,4.57E+18,4.57E+18,0,0,0,16,4.56751E+18,4.16931E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,0x6b0a6c142905ce6c1db7276d8878a3e7846675d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.347E+18,0,0,0,2,0,0,115438631,0,1E+16,1.337E+18,1.35E+18,0,0,0,0,2,0,Blockwell say NOTSAFU
1316,0x6b4888b308d6013407190dfeefbb4c7dc2eaa61f,0,87684.33333,339722,1,4,0,4,1,1.63E+16,1.05568E+18,1.50E+17,1.7715E+18,1.77E+18,1.77E+18,0,0,0,5,1.7715E+18,6E+17,0,0,2,1.338E+19,0,0,0,2,0,0,115434688,0,1E+16,1.337E+19,1.34E+19,0,0,0,0,2,0,Blockwell say NOTSAFU
1317,0x6b67f7ad81e9eb49a580f366b9e0e518ebce14cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,0x6bed8445ada86419243f95a5bb14bc599d62b295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.338E+19,0,0,0,3,0,0,65437649,0,88000000000,1.337E+19,6.69E+18,0,0,0,0,3,0,Civic
1319,0x6c4f56b116e91f15e790508d4212906b75835b63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.337E+18,0,0,0,1,0,0,0,0,1.337E+18,1.337E+18,0,0,0,0,0,1,0,Blockwell say NOTSAFU
1320,0x6c712ae4986342773edc37a9ff7fa90b1b52ca6e,0,5009.5,89894647,1,43,0,41,1,1.1744E+15,1.949E+19,4.53E+17,79429691309420017405,7.94E+19,7.94E+19,0,0,0,44,79429691309420017405,1.949E+19,0,0,5,13380000000000790005,0,9.90E+19,0,4,1,0,44031059.67,0,5,1.337E+19,4.46E+18,0,0,0,0,4,0,GSENetwork
1321,0x6cca6dcd9843b74fd6118687ad14b572bcf99ee6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322,0x6cf481c7090d88ca6f1fa3c9ffd0911ef5359808,139789,0,154187,2,1,0,1,2,2.50E+17,2.5E+17,2.50E+17,1.64714E+16,2.33E+17,8.23572E+15,0,0,0,3,1.64714E+16,2.5E+17,0,84980000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
