,address,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and_last (Mins),Sent_tnx,Received_tnx,NumberofCreated_Contracts,UniqueReceivedFrom_Addresses,UniqueSentTo_Addresses20,MinValueReceived,MaxValueReceived,AvgValueReceived5Average,MinValSent,MaxValSent,AvgValSent,MinValueSentToContract,MaxValueSentToContract,AvgValueSentToContract,TotalTransactions(IncludingTnxtoCreate_Contract),TotalEtherSent,TotalEtherReceived,TotalEtherSent_Contracts,TotalEtherBalance,TotalERC20Tnxs:,ERC20TotalEther_Received:,ERC20TotalEther_Sent:,ERC20TotalEtherSentContract:,ERC20UniqSent_Addr:,ERC20UniqRec_Addr:,ERC20UniqRecContractAddr:,ERC20AvgTimeBetweenSent_Tnx,ERC20AvgTimeBetweenRec_Tnx,ERC20AvgTimeBetweenContract_Tnx,ERC20MinVal_Rec,ERC20MaxVal_Rec,ERC20AvgVal_Rec,ERC20MinVal_Sent,ERC20MaxVal_Sent,ERC20AvgVal_Sent,ERC20UniqSentTokenName,ERC20UniqRecTokenName,ERC20MostSentTokenType,ERC20MostRecTokenType
1000,0x55782237A7e2fB8EB46c22E34F13D3A162286cC0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,3,0.0,0,2.684e+18,0,0,3,0.0,0.0,57826804.5,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
1001,0x557a5C0B3ACBf9Fe59D5a079aa59c9C7ff481c87,0.0,661858.75,2647435,0,5,0,5,0,500000000000000000,3.449139e+18,6.898278e+17,0,0,0.0,0,0,0.0,5,0,3449139000000000000,0,0,2,0.0,0,1.338e+19,0,0,2,0.0,0.0,115437112.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
1002,0x5580FB6E95230BF16AE7e2c6467D11566ed5b3Ea,0.0,369247.53846153844,9600436,0,27,0,6,0,1000000000000,1e+18,1.8148148148148148e+16,0,0,0.0,0,0,0.0,27,0,490000000000000000,0,5410920000000000,5,0.0,0,5.848e+18,0,0,4,0.0,0.0,8059280.75,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
1003,0x5584d5ab83d9E338a89769C66df095212BC528E3,0.0,5588.5,11177,0,3,0,2,0,5870000000000000000,1.1874573438415858e+19,1.9566666666666668e+18,0,0,0.0,0,0,0.0,3,0,5870000000000000000,0,4384438415858232,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
1004,0x55961917d1fA009eAcCa41bc5040a739435fc877,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
1005,0x55B775Ea2CA493c082F3e17A8433e4D220FBB8d8,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
1006,0x55C556aE081b7c3dE12127d6Df9802698B301898,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
1007,0x55c554986B60E9D78Ab6785E5829c75D252b1bbD,0.0,399352.1666666667,2396113,0,7,0,7,0,546470000000000,2.52483282e+18,3.6069040285714285e+17,0,0,0.0,0,0,0.0,7,0,2524832820000000000,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
1009,0x55e22446d5e72f76532d10aa887842387e03920c,0.0,0.0,298,1,1,0,1,1,1002330000000000000,1.00233e+18,1.00233e+18,1002309000000000000,1002309000000000000,1.002309e+18,0,0,0.0,2,1002309000000000000,1002330000000000000,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
1010,0x560833296ef7A7F41b30c1065225Fa9b33830c19,0.0,24917.055555555555,4485070,0,181,4,74,0,0,9.1e+18,331491712707182.3,0,0,0.0,0,0,0.0,186,0,60000000000000000,0,25480158592883,63,0.0,0,1.2000000000009953e+19,0,0,2,0.0,0.0,38932.54838709677,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
